year,mileage,fuel_type,transmission,seller_type,car_condition,brand,price
2014,164674,Electric,Semi-Auto,Online Platform,Poor,Toyota,4693
2006,56399,Petrol,Manual,Dealer,Good,Hyundai,9669
2011,159544,Hybrid,Manual,Individual,Poor,Ford,4573
2007,185302,Diesel,Semi-Auto,Dealer,Good,Ford,7822
2014,12099,Hybrid,Manual,Online Platform,Poor,Ford,10636
2002,161503,Diesel,Semi-Auto,Online Platform,Fair,Tesla,13957
2013,61492,Petrol,Manual,Online Platform,Excellent,Hyundai,10841
2016,101722,Diesel,Manual,Online Platform,Poor,BMW,12234
2003,183756,Hybrid,Manual,Online Platform,Good,Ford,8096
2017,35111,Diesel,Manual,Online Platform,Poor,Hyundai,6588
2007,68936,Petrol,Semi-Auto,Individual,Fair,Hyundai,7835
2003,158686,Diesel,Automatic,Individual,Fair,Toyota,6494
2001,178063,Electric,Manual,Individual,Poor,Ford,4620
2005,65920,Hybrid,Semi-Auto,Dealer,Excellent,Tesla,31584
2021,68530,Electric,Semi-Auto,Dealer,Good,Hyundai,9785
2009,172296,Petrol,Manual,Individual,Fair,Hyundai,3555
2003,12788,Diesel,Automatic,Dealer,Fair,BMW,22710
2021,33082,Electric,Manual,Dealer,Poor,Toyota,8272
2017,128287,Electric,Semi-Auto,Online Platform,Fair,Hyundai,3950
2011,94570,Diesel,Automatic,Online Platform,Fair,Hyundai,6694
2001,106015,Diesel,Semi-Auto,Dealer,Good,Tesla,23155
2009,88588,Hybrid,Manual,Dealer,Excellent,Tesla,27212
2003,152603,Electric,Automatic,Individual,Good,BMW,15228
2013,93340,Electric,Semi-Auto,Dealer,Excellent,BMW,25141
2015,99439,Petrol,Semi-Auto,Online Platform,Good,BMW,20107
2014,180929,Hybrid,Semi-Auto,Dealer,Poor,Tesla,9583
2007,146214,Petrol,Manual,Individual,Fair,Tesla,15583
2013,120053,Electric,Automatic,Online Platform,Excellent,Toyota,11372
2022,53355,Petrol,Manual,Online Platform,Poor,Ford,8326
2007,145938,Electric,Manual,Online Platform,Fair,Ford,7382
2020,130426,Electric,Manual,Online Platform,Fair,Toyota,7493
2015,69027,Petrol,Automatic,Dealer,Fair,Ford,10932
2012,193978,Petrol,Manual,Individual,Good,Tesla,15089
2017,164210,Diesel,Manual,Dealer,Poor,Ford,5249
2014,97601,Diesel,Manual,Dealer,Poor,Tesla,15962
2020,34956,Diesel,Manual,Online Platform,Fair,Toyota,9961
2012,109797,Electric,Semi-Auto,Individual,Excellent,BMW,22545
2008,129917,Petrol,Manual,Online Platform,Poor,Toyota,5075
2014,131303,Hybrid,Semi-Auto,Dealer,Good,Ford,10667
2012,141511,Electric,Manual,Dealer,Excellent,Tesla,20637
2000,183313,Hybrid,Automatic,Online Platform,Excellent,Ford,6665
2006,47533,Petrol,Semi-Auto,Dealer,Excellent,Ford,18586
2008,164342,Electric,Semi-Auto,Dealer,Excellent,BMW,15619
2000,83815,Hybrid,Semi-Auto,Online Platform,Poor,Ford,7528
2011,44279,Hybrid,Semi-Auto,Dealer,Fair,BMW,19626
2007,114787,Diesel,Automatic,Individual,Excellent,Tesla,26189
2010,159960,Diesel,Manual,Online Platform,Good,Tesla,14453
2018,153702,Diesel,Semi-Auto,Individual,Good,BMW,14338
2016,66063,Electric,Automatic,Dealer,Fair,Toyota,8860
2007,132896,Petrol,Semi-Auto,Dealer,Poor,Tesla,11057
2002,171216,Petrol,Manual,Online Platform,Fair,Toyota,5363
2002,188233,Diesel,Semi-Auto,Dealer,Excellent,Tesla,17015
2000,187051,Diesel,Automatic,Online Platform,Poor,Tesla,7585
2004,102661,Diesel,Manual,Online Platform,Poor,Hyundai,5084
2009,143051,Hybrid,Automatic,Online Platform,Excellent,Ford,10249
2006,162261,Diesel,Manual,Online Platform,Good,Ford,6896
2008,178672,Hybrid,Manual,Online Platform,Excellent,Toyota,6076
2006,195632,Petrol,Manual,Individual,Fair,Ford,4235
2008,128257,Electric,Semi-Auto,Online Platform,Excellent,Toyota,9122
2007,197630,Electric,Automatic,Individual,Good,Tesla,15480
2011,91205,Electric,Automatic,Dealer,Excellent,Hyundai,8906
2001,11910,Electric,Automatic,Online Platform,Fair,Hyundai,9668
2000,193785,Hybrid,Manual,Dealer,Fair,Tesla,9878
2015,51857,Hybrid,Semi-Auto,Online Platform,Good,BMW,25151
2022,39964,Diesel,Manual,Individual,Fair,BMW,19716
2022,161299,Hybrid,Automatic,Individual,Fair,Ford,6891
2004,142050,Diesel,Semi-Auto,Individual,Excellent,Toyota,8654
2002,22153,Diesel,Semi-Auto,Dealer,Poor,Hyundai,7000
2011,64765,Electric,Semi-Auto,Online Platform,Fair,Ford,12015
2007,113212,Hybrid,Automatic,Dealer,Fair,Tesla,17244
2021,44071,Hybrid,Semi-Auto,Individual,Good,Hyundai,10195
2002,117990,Diesel,Semi-Auto,Dealer,Good,Toyota,9425
2000,74519,Diesel,Manual,Individual,Excellent,Toyota,13872
2002,14503,Petrol,Manual,Individual,Excellent,BMW,36103
2004,196775,Petrol,Semi-Auto,Individual,Fair,Ford,5671
2014,100457,Diesel,Semi-Auto,Online Platform,Poor,Tesla,13937
2013,193938,Petrol,Manual,Online Platform,Poor,Hyundai,2373
2002,152977,Petrol,Manual,Individual,Excellent,Toyota,9551
2000,50838,Diesel,Manual,Dealer,Good,Hyundai,9872
2004,130200,Diesel,Automatic,Dealer,Fair,Tesla,16007
2022,194351,Hybrid,Automatic,Online Platform,Fair,Hyundai,3635
2013,94489,Diesel,Manual,Individual,Poor,Ford,7925
2006,31806,Diesel,Semi-Auto,Dealer,Excellent,BMW,32652
2008,181072,Electric,Manual,Individual,Poor,Hyundai,2642
2014,158240,Hybrid,Automatic,Dealer,Poor,BMW,10122
2014,75119,Hybrid,Semi-Auto,Online Platform,Excellent,Tesla,34697
2009,43714,Hybrid,Automatic,Individual,Good,BMW,24101
2012,190165,Electric,Semi-Auto,Individual,Fair,Hyundai,3077
2018,60419,Diesel,Automatic,Dealer,Good,Hyundai,9111
2006,185217,Hybrid,Semi-Auto,Dealer,Excellent,Toyota,7650
2016,110432,Hybrid,Semi-Auto,Dealer,Excellent,Hyundai,10420
2019,97949,Petrol,Semi-Auto,Individual,Fair,BMW,15556
2003,138533,Hybrid,Semi-Auto,Online Platform,Good,Toyota,8200
2004,150363,Diesel,Automatic,Online Platform,Fair,Hyundai,4427
2022,182876,Diesel,Automatic,Dealer,Poor,Hyundai,3423
2006,81971,Petrol,Semi-Auto,Online Platform,Poor,Tesla,16128
2012,98471,Hybrid,Semi-Auto,Dealer,Poor,Toyota,5674
2014,69946,Hybrid,Automatic,Online Platform,Good,Tesla,23160
2010,103989,Hybrid,Semi-Auto,Individual,Poor,Tesla,14810
2003,89080,Electric,Semi-Auto,Dealer,Fair,Tesla,18884
2012,197404,Hybrid,Semi-Auto,Online Platform,Good,Ford,6914
2006,82794,Diesel,Manual,Individual,Fair,Tesla,20683
2018,35841,Diesel,Semi-Auto,Online Platform,Excellent,BMW,28397
2021,129447,Electric,Manual,Individual,Good,Hyundai,6338
2001,125029,Electric,Semi-Auto,Individual,Fair,Ford,8143
2009,184830,Hybrid,Automatic,Online Platform,Fair,Tesla,9803
2012,81272,Petrol,Manual,Online Platform,Good,Hyundai,8818
2020,42643,Electric,Manual,Individual,Excellent,Toyota,15802
2005,186480,Electric,Semi-Auto,Individual,Good,Toyota,7018
2011,48950,Hybrid,Semi-Auto,Individual,Poor,Hyundai,6195
2011,192921,Hybrid,Manual,Dealer,Poor,BMW,7766
2019,105500,Electric,Automatic,Individual,Excellent,Hyundai,8992
2010,164116,Petrol,Automatic,Dealer,Fair,Hyundai,4907
2022,130588,Electric,Semi-Auto,Individual,Fair,Ford,7857
2006,20997,Hybrid,Automatic,Dealer,Fair,Toyota,10609
2000,84751,Hybrid,Automatic,Individual,Good,Toyota,10042
2000,103605,Electric,Semi-Auto,Individual,Good,Tesla,18289
2019,159983,Petrol,Automatic,Individual,Excellent,Hyundai,7335
2012,60533,Electric,Semi-Auto,Online Platform,Poor,Hyundai,5282
2008,87566,Electric,Manual,Online Platform,Fair,BMW,18684
2002,150643,Hybrid,Semi-Auto,Individual,Poor,Toyota,4402
2006,113255,Petrol,Manual,Dealer,Good,BMW,16342
2005,194013,Diesel,Manual,Dealer,Good,Ford,5353
2007,63005,Petrol,Automatic,Individual,Good,Tesla,27983
2008,194784,Electric,Automatic,Online Platform,Poor,BMW,4620
2004,48541,Electric,Automatic,Dealer,Excellent,Toyota,15618
2000,28387,Electric,Semi-Auto,Online Platform,Excellent,Ford,17918
2018,98980,Petrol,Automatic,Dealer,Good,Hyundai,7597
2009,184980,Hybrid,Manual,Individual,Fair,Ford,5664
2011,90457,Electric,Automatic,Online Platform,Poor,BMW,12993
2014,149129,Electric,Automatic,Dealer,Good,Toyota,8141
2021,69028,Petrol,Semi-Auto,Individual,Poor,BMW,12682
2008,124246,Diesel,Semi-Auto,Individual,Poor,Hyundai,4107
2019,60731,Diesel,Manual,Individual,Excellent,Hyundai,12271
2016,160930,Hybrid,Semi-Auto,Online Platform,Good,Toyota,6722
2016,184761,Hybrid,Automatic,Online Platform,Excellent,Tesla,16751
2019,49638,Electric,Semi-Auto,Individual,Good,Ford,15167
2011,182558,Petrol,Manual,Online Platform,Poor,Ford,4930
2006,25567,Electric,Automatic,Dealer,Excellent,Hyundai,12837
2001,165811,Hybrid,Manual,Individual,Poor,BMW,6800
2002,62804,Petrol,Semi-Auto,Individual,Good,BMW,22267
2016,113821,Petrol,Semi-Auto,Online Platform,Fair,Tesla,17641
2004,8754,Hybrid,Manual,Individual,Excellent,BMW,32124
2016,32044,Diesel,Automatic,Dealer,Excellent,Ford,18704
2016,72260,Diesel,Semi-Auto,Online Platform,Poor,BMW,13732
2016,71912,Petrol,Semi-Auto,Online Platform,Poor,Tesla,15161
2001,13706,Electric,Automatic,Individual,Fair,Ford,13977
2001,13894,Diesel,Semi-Auto,Individual,Excellent,BMW,35636
2021,154109,Electric,Manual,Individual,Good,Ford,9162
2022,88986,Diesel,Semi-Auto,Online Platform,Good,Hyundai,7512
2004,86942,Diesel,Semi-Auto,Individual,Excellent,Hyundai,10283
2000,187684,Electric,Automatic,Dealer,Excellent,Hyundai,5504
2000,34725,Hybrid,Manual,Individual,Excellent,BMW,31147
2018,141998,Diesel,Automatic,Individual,Fair,Tesla,15185
2001,109555,Diesel,Semi-Auto,Online Platform,Good,Ford,11676
2020,14496,Electric,Semi-Auto,Individual,Good,Toyota,14207
2011,61447,Hybrid,Automatic,Online Platform,Poor,Hyundai,5363
2005,106604,Diesel,Automatic,Individual,Poor,Hyundai,4631
2022,165878,Diesel,Automatic,Dealer,Excellent,Toyota,9727
2003,93199,Hybrid,Manual,Dealer,Poor,Toyota,6027
2022,46321,Diesel,Semi-Auto,Online Platform,Fair,BMW,21551
2010,158728,Hybrid,Automatic,Online Platform,Good,Ford,8511
2016,60147,Hybrid,Semi-Auto,Individual,Good,Hyundai,9113
2005,96396,Electric,Manual,Individual,Poor,Tesla,13940
2004,185738,Petrol,Manual,Dealer,Excellent,BMW,13681
2019,43787,Hybrid,Manual,Individual,Poor,BMW,15962
2001,199018,Electric,Manual,Dealer,Excellent,Tesla,19135
2005,26727,Petrol,Semi-Auto,Online Platform,Fair,Tesla,25582
2021,100081,Diesel,Manual,Individual,Good,Tesla,21169
2010,127721,Petrol,Manual,Online Platform,Fair,Toyota,5898
2015,73056,Hybrid,Automatic,Individual,Good,Hyundai,8824
2015,139153,Hybrid,Manual,Dealer,Fair,Toyota,5757
2000,170268,Hybrid,Automatic,Online Platform,Poor,Hyundai,3314
2008,172807,Hybrid,Manual,Online Platform,Fair,Toyota,5426
2005,85102,Hybrid,Manual,Individual,Fair,Ford,10210
2015,161570,Electric,Automatic,Online Platform,Poor,Hyundai,3558
2002,81865,Hybrid,Manual,Dealer,Good,BMW,21910
2019,167728,Electric,Semi-Auto,Online Platform,Good,Hyundai,6411
2003,72695,Diesel,Semi-Auto,Online Platform,Poor,Hyundai,5680
2018,173972,Hybrid,Manual,Individual,Fair,Hyundai,4462
2002,122235,Hybrid,Semi-Auto,Online Platform,Fair,Ford,7490
2018,183773,Petrol,Automatic,Individual,Fair,Toyota,3946
2019,113777,Diesel,Manual,Individual,Excellent,BMW,23208
2006,24033,Hybrid,Manual,Online Platform,Good,Toyota,12636
2019,146877,Hybrid,Automatic,Dealer,Fair,Toyota,5750
2008,171923,Diesel,Automatic,Individual,Good,Tesla,17006
2000,31832,Electric,Automatic,Online Platform,Fair,Ford,12407
2007,199509,Hybrid,Manual,Individual,Poor,Tesla,5764
2006,120725,Petrol,Automatic,Dealer,Poor,Ford,6814
2017,150016,Hybrid,Automatic,Dealer,Good,Toyota,9054
2007,24873,Petrol,Semi-Auto,Individual,Good,Toyota,13149
2000,45372,Petrol,Semi-Auto,Dealer,Poor,Ford,9827
2010,94464,Hybrid,Manual,Online Platform,Excellent,Toyota,11492
2017,151451,Hybrid,Semi-Auto,Online Platform,Poor,Toyota,4405
2022,122322,Petrol,Semi-Auto,Individual,Fair,BMW,14131
2009,172823,Diesel,Automatic,Dealer,Excellent,Tesla,16162
2002,105082,Diesel,Automatic,Online Platform,Poor,Tesla,14563
2006,10110,Hybrid,Semi-Auto,Online Platform,Excellent,Tesla,37351
2015,190413,Electric,Semi-Auto,Online Platform,Excellent,Hyundai,5400
2015,17087,Diesel,Semi-Auto,Individual,Excellent,BMW,35883
2019,159834,Hybrid,Manual,Individual,Good,Tesla,17738
2016,87617,Diesel,Manual,Online Platform,Poor,Tesla,15382
2001,105483,Electric,Manual,Online Platform,Good,BMW,21829
2000,14596,Hybrid,Semi-Auto,Dealer,Good,Toyota,14105
2015,112539,Electric,Semi-Auto,Dealer,Fair,Tesla,15361
2011,23313,Hybrid,Manual,Dealer,Fair,Toyota,11148
2004,118175,Electric,Manual,Individual,Excellent,Tesla,25191
2004,119914,Diesel,Semi-Auto,Online Platform,Excellent,Ford,10681
2022,28705,Diesel,Automatic,Individual,Fair,Hyundai,8141
2008,78445,Electric,Manual,Online Platform,Fair,Tesla,18924
2008,108892,Electric,Semi-Auto,Dealer,Poor,Ford,6440
2002,7023,Electric,Semi-Auto,Dealer,Excellent,BMW,34525
2018,124654,Hybrid,Automatic,Dealer,Excellent,Ford,12287
2015,195868,Diesel,Semi-Auto,Dealer,Fair,BMW,7395
2015,85073,Hybrid,Semi-Auto,Online Platform,Poor,Tesla,13728
2002,97197,Diesel,Manual,Dealer,Fair,BMW,16677
2019,69429,Petrol,Manual,Online Platform,Fair,Ford,11151
2021,109195,Hybrid,Automatic,Online Platform,Good,Hyundai,7720
2000,197699,Diesel,Automatic,Individual,Excellent,Toyota,7739
2019,38848,Diesel,Semi-Auto,Dealer,Poor,Toyota,7907
2010,173876,Hybrid,Manual,Dealer,Good,Hyundai,4824
2016,151451,Hybrid,Automatic,Individual,Excellent,Toyota,8817
2007,195736,Diesel,Automatic,Online Platform,Fair,Tesla,9869
2003,32766,Hybrid,Automatic,Dealer,Poor,Tesla,19352
2005,73099,Electric,Semi-Auto,Online Platform,Excellent,Ford,16288
2007,172132,Hybrid,Manual,Individual,Fair,Ford,4738
2019,74122,Hybrid,Automatic,Online Platform,Good,BMW,21932
2002,152159,Hybrid,Manual,Dealer,Poor,Ford,5323
2015,53868,Diesel,Automatic,Online Platform,Excellent,Tesla,37197
2002,124119,Electric,Automatic,Online Platform,Good,Ford,9845
2017,159297,Petrol,Manual,Dealer,Fair,Toyota,4646
2013,100286,Petrol,Manual,Dealer,Fair,BMW,16054
2017,11643,Electric,Manual,Online Platform,Excellent,BMW,36162
2001,41727,Electric,Semi-Auto,Online Platform,Fair,Tesla,23554
2021,147077,Electric,Automatic,Individual,Poor,Ford,6792
2002,114079,Diesel,Semi-Auto,Dealer,Excellent,Toyota,13088
2015,70697,Petrol,Manual,Online Platform,Good,Ford,13692
2008,21029,Electric,Automatic,Dealer,Excellent,Hyundai,13525
2003,150298,Diesel,Semi-Auto,Individual,Excellent,Ford,12256
2000,199718,Petrol,Automatic,Online Platform,Good,Tesla,11542
2003,196675,Hybrid,Semi-Auto,Online Platform,Fair,Ford,4380
2000,164803,Diesel,Manual,Online Platform,Good,BMW,14853
2013,114458,Petrol,Semi-Auto,Dealer,Poor,Toyota,5775
2020,115384,Diesel,Automatic,Individual,Fair,Tesla,16100
2015,73926,Petrol,Automatic,Dealer,Excellent,Hyundai,11052
2019,142069,Petrol,Automatic,Online Platform,Fair,Toyota,6221
2007,60506,Hybrid,Automatic,Individual,Fair,Toyota,9348
2006,83229,Diesel,Manual,Online Platform,Poor,BMW,12299
2002,185887,Electric,Semi-Auto,Online Platform,Fair,BMW,9274
2016,47092,Hybrid,Manual,Dealer,Fair,BMW,19913
2000,67539,Hybrid,Manual,Online Platform,Fair,Tesla,22094
2015,157889,Petrol,Manual,Individual,Excellent,Ford,11117
2011,173933,Electric,Automatic,Online Platform,Fair,Toyota,5181
2018,18428,Diesel,Automatic,Online Platform,Good,Ford,17118
2021,180006,Electric,Automatic,Dealer,Fair,Ford,5370
2022,146330,Electric,Semi-Auto,Individual,Poor,BMW,10277
2021,62775,Electric,Automatic,Dealer,Fair,Ford,10775
2013,10469,Electric,Semi-Auto,Online Platform,Fair,Toyota,10614
2005,33854,Electric,Automatic,Dealer,Excellent,Toyota,15004
2005,142328,Petrol,Automatic,Dealer,Good,Hyundai,6927
2012,81256,Petrol,Manual,Dealer,Fair,Tesla,21058
2018,170009,Hybrid,Manual,Dealer,Good,Ford,8980
2021,104134,Petrol,Manual,Online Platform,Poor,Tesla,12321
2007,137723,Hybrid,Semi-Auto,Online Platform,Excellent,Tesla,27591
2001,186360,Hybrid,Semi-Auto,Individual,Good,Tesla,12761
2020,89730,Diesel,Automatic,Dealer,Excellent,Tesla,25741
2000,161123,Electric,Semi-Auto,Dealer,Fair,Toyota,6872
2014,32386,Petrol,Automatic,Individual,Poor,Ford,8926
2000,152256,Diesel,Semi-Auto,Dealer,Excellent,Hyundai,6805
2004,38787,Petrol,Semi-Auto,Individual,Fair,Tesla,24091
2015,26621,Hybrid,Semi-Auto,Online Platform,Good,Hyundai,11201
2018,82984,Petrol,Manual,Individual,Poor,Toyota,6154
2003,195864,Electric,Semi-Auto,Dealer,Poor,Toyota,3591
2002,181325,Hybrid,Manual,Individual,Good,BMW,12997
2016,39051,Hybrid,Manual,Online Platform,Good,Tesla,30477
2016,54811,Diesel,Semi-Auto,Dealer,Poor,BMW,15903
2011,35447,Electric,Automatic,Online Platform,Excellent,Hyundai,12649
2013,133046,Hybrid,Automatic,Online Platform,Poor,Ford,5861
2020,166326,Electric,Automatic,Individual,Good,BMW,16364
2005,89045,Petrol,Semi-Auto,Online Platform,Excellent,Toyota,12923
2002,121859,Electric,Automatic,Dealer,Fair,Tesla,15246
2008,193490,Hybrid,Manual,Online Platform,Poor,Hyundai,2250
2004,150544,Diesel,Automatic,Online Platform,Good,Toyota,7487
2016,8471,Hybrid,Semi-Auto,Individual,Fair,Ford,12266
2013,125312,Electric,Automatic,Online Platform,Poor,Tesla,11563
2020,144401,Electric,Manual,Individual,Poor,Ford,5547
2002,170937,Hybrid,Semi-Auto,Individual,Excellent,Ford,9111
2000,51850,Electric,Automatic,Dealer,Good,Tesla,26750
2019,59220,Petrol,Semi-Auto,Dealer,Fair,Tesla,21844
2020,98808,Hybrid,Semi-Auto,Dealer,Poor,Ford,7880
2022,142469,Diesel,Semi-Auto,Dealer,Excellent,Hyundai,8262
2000,171597,Hybrid,Automatic,Individual,Fair,Tesla,12118
2002,58072,Petrol,Semi-Auto,Online Platform,Fair,Toyota,9635
2017,88820,Petrol,Automatic,Dealer,Poor,BMW,12525
2009,28284,Petrol,Manual,Dealer,Fair,Hyundai,8808
2021,197402,Petrol,Automatic,Dealer,Poor,Tesla,7289
2002,88369,Petrol,Manual,Online Platform,Excellent,Tesla,30309
2007,30122,Diesel,Automatic,Dealer,Excellent,Hyundai,13315
2013,135349,Electric,Semi-Auto,Online Platform,Fair,BMW,11718
2017,75553,Petrol,Automatic,Individual,Poor,Ford,7912
2014,99788,Petrol,Semi-Auto,Individual,Good,Toyota,10159
2021,67812,Hybrid,Manual,Individual,Excellent,Tesla,30478
2022,12999,Diesel,Automatic,Online Platform,Poor,BMW,16613
2001,27436,Diesel,Semi-Auto,Dealer,Poor,Toyota,8078
2009,47963,Electric,Manual,Dealer,Poor,Hyundai,5988
2001,138168,Diesel,Manual,Dealer,Fair,Tesla,15407
2016,161351,Hybrid,Automatic,Dealer,Good,Ford,7555
2007,113899,Hybrid,Manual,Dealer,Fair,Hyundai,6419
2000,31201,Electric,Semi-Auto,Online Platform,Excellent,Tesla,37260
2008,155787,Hybrid,Manual,Individual,Fair,BMW,11711
2010,165381,Petrol,Manual,Dealer,Poor,Toyota,3872
2021,151150,Petrol,Semi-Auto,Individual,Fair,Toyota,6095
2015,192686,Hybrid,Manual,Online Platform,Poor,Tesla,9266
2006,10105,Electric,Manual,Online Platform,Good,Hyundai,11368
2009,122666,Diesel,Manual,Dealer,Fair,Ford,8119
2022,99848,Electric,Manual,Online Platform,Fair,BMW,15015
2002,7839,Diesel,Semi-Auto,Individual,Fair,Tesla,27184
2017,73920,Hybrid,Manual,Dealer,Poor,BMW,13500
2012,48619,Hybrid,Semi-Auto,Dealer,Poor,Toyota,7564
2006,47821,Petrol,Manual,Individual,Fair,Ford,12441
2003,130736,Diesel,Manual,Dealer,Fair,BMW,13951
2012,149565,Electric,Manual,Dealer,Good,Tesla,17511
2019,22069,Hybrid,Manual,Individual,Good,Ford,18434
2000,12531,Electric,Semi-Auto,Dealer,Excellent,Hyundai,14295
2007,173123,Petrol,Semi-Auto,Dealer,Good,Tesla,12896
2013,143808,Diesel,Semi-Auto,Individual,Good,BMW,13301
2015,143782,Diesel,Automatic,Online Platform,Good,Ford,8746
2013,72155,Hybrid,Manual,Individual,Poor,Tesla,16109
2011,150047,Diesel,Manual,Dealer,Good,Ford,8295
2018,67424,Hybrid,Semi-Auto,Individual,Good,Ford,13389
2022,50603,Petrol,Automatic,Dealer,Fair,Ford,11989
2014,159324,Diesel,Manual,Dealer,Poor,BMW,8132
2001,137503,Hybrid,Semi-Auto,Individual,Excellent,Tesla,18449
2001,173553,Electric,Manual,Dealer,Excellent,Toyota,8556
2022,97573,Hybrid,Manual,Online Platform,Good,Toyota,10755
2021,145629,Diesel,Semi-Auto,Dealer,Excellent,BMW,16211
2018,108302,Petrol,Semi-Auto,Individual,Excellent,BMW,23106
2021,136234,Diesel,Manual,Online Platform,Excellent,Ford,10585
2021,170814,Diesel,Manual,Online Platform,Good,Tesla,14006
2016,24675,Hybrid,Semi-Auto,Dealer,Excellent,Tesla,39566
2019,78997,Electric,Manual,Individual,Good,Hyundai,9326
2009,153087,Diesel,Manual,Dealer,Fair,Hyundai,5078
2005,186129,Electric,Semi-Auto,Dealer,Fair,Toyota,4701
2014,168663,Hybrid,Manual,Individual,Excellent,Hyundai,7222
2021,145905,Electric,Manual,Individual,Fair,Hyundai,4637
2010,12896,Hybrid,Automatic,Dealer,Good,Toyota,14063
2004,169044,Petrol,Semi-Auto,Online Platform,Fair,Toyota,3681
2000,54733,Electric,Automatic,Dealer,Excellent,Hyundai,11705
2007,46800,Electric,Automatic,Online Platform,Good,Tesla,30554
2020,101044,Petrol,Automatic,Dealer,Poor,Hyundai,4877
2011,10347,Electric,Manual,Individual,Good,Ford,16817
2011,195135,Petrol,Manual,Online Platform,Fair,Ford,5641
2004,138715,Diesel,Automatic,Individual,Poor,Ford,5766
2006,45785,Hybrid,Automatic,Individual,Good,BMW,26571
2003,23681,Petrol,Automatic,Individual,Poor,Ford,10210
2005,186098,Electric,Manual,Individual,Poor,Tesla,9468
2012,108864,Petrol,Automatic,Individual,Poor,BMW,11773
2019,151964,Electric,Automatic,Dealer,Good,BMW,15718
2014,52299,Diesel,Semi-Auto,Online Platform,Fair,Ford,11834
2002,22073,Petrol,Semi-Auto,Dealer,Good,Hyundai,10815
2022,107304,Diesel,Manual,Dealer,Fair,Toyota,8002
2007,35682,Hybrid,Semi-Auto,Dealer,Good,Hyundai,11474
2019,129302,Electric,Semi-Auto,Individual,Good,Hyundai,6458
2015,150361,Electric,Semi-Auto,Dealer,Good,BMW,14591
2012,120359,Diesel,Manual,Online Platform,Fair,BMW,14403
